ra,dec,r,name,ra_hms,dec_dms,ra_deg,dec_deg,z,imag,comment
245.962043428676,-0.358594246583381,10.99666,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.956065967636,-0.361104716291351,16.75969,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.949332903606,-0.35778304906115,14.83478,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.949072252681,-0.357810429166284,14.87511,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.948436620907,-0.361589719117652,15.39293,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.930391481654,-0.385317381211567,15.57381,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.928078921528,-0.371874132994314,16.43674,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
245.924461352531,-0.388224882059273,15.85233,J162346.09-002218.1,8/25/2017 4:23:46 PM,-00:22:18.1,245.942,-0.3716944,2.37,19.9,N-rich_QSO
256.709943501529,21.5056858693302,13.00504,J170648.49+212918.0,8/25/2017 5:06:48 PM,+21:29:18.0,256.7021,21.48833,1.901,19.09,N-rich_QSO
256.866768155992,22.1791540706704,15.81072,J170731.74+221151.3,8/25/2017 5:07:31 PM,+22:11:51.3,256.8823,22.19758,1.857,18.9,N-rich_QSO
256.862699873668,22.1907732744752,16.75439,J170731.74+221151.3,8/25/2017 5:07:31 PM,+22:11:51.3,256.8823,22.19758,1.857,18.9,N-rich_QSO
255.836882547612,23.2000000100021,16.10604,J170322.41+231243.3,8/25/2017 5:03:22 PM,+23:12:43.3,255.8434,23.21203,2.625,18.02,N-rich_QSO
255.849894140383,23.2186052154647,15.48709,J170322.41+231243.3,8/25/2017 5:03:22 PM,+23:12:43.3,255.8434,23.21203,2.625,18.02,N-rich_QSO
255.836350968495,23.2255190256453,16.14858,J170322.41+231243.3,8/25/2017 5:03:22 PM,+23:12:43.3,255.8434,23.21203,2.625,18.02,N-rich_QSO
243.360513355004,6.83985829319661,14.08747,J161326.22+064958.6,8/25/2017 4:13:26 PM,+06:49:58.6,243.3593,6.832944,1.941,17.72,N-rich_QSO
250.469438633563,22.5340767050142,16.59087,J164148.19+223225.2,8/25/2017 4:41:48 PM,+22:32:25.2,250.4508,22.54033,2.506,18.8,N-rich_QSO
250.447082714498,22.5227101448171,14.88525,J164148.19+223225.2,8/25/2017 4:41:48 PM,+22:32:25.2,250.4508,22.54033,2.506,18.8,N-rich_QSO
250.460445389287,22.5494515907852,14.73091,J164148.19+223225.2,8/25/2017 4:41:48 PM,+22:32:25.2,250.4508,22.54033,2.506,18.8,N-rich_QSO
250.348752153996,22.9502671372283,16.08092,J164125.22+225704.0,8/25/2017 4:41:25 PM,+22:57:04.0,250.3551,22.95111,2.063,18.74,N-rich_QSO
